"";"sku";"sociability";"precio";"category";"apariciones";"media_repe";"total_vendido"
"1";"8MO0001";0,75;21,3693103448276;"accessories";29;1,03448275862069;30
"2";"8MO0002";0,666666666666667;21,7233333333333;"accessories";30;1,03333333333333;31
"3";"8MO0003";0,25;17,8428571428571;"accessories";28;1,07142857142857;30
"4";"8MO0005";1;20,5971428571429;"accessories";28;1,03571428571429;29
"5";"8MO0006";0,5;16,82875;"accessories";8;1;8
"6";"ADN0013";0,222222222222222;7,96966101694915;"accessories";59;1,11864406779661;66
"7";"ADN0016";0,8;49,5907142857143;"accessories";28;1;28
"8";"ADN0018";3;27,3560869565217;"accessories";23;1;23
"9";"ADN0022";0,5;19,8788888888889;"accessories";18;1,05555555555556;19
"10";"ADN0023";0,5;19,99;"accessories";20;1,15;23
"11";"ADN0026";1;26,49;"accessories";14;1;14
"12";"ADN0029";0,333333333333333;25,592;"accessories";20;1;20
"13";"ADN0036";0,08;72,701;"accessories";90;1,03333333333333;93
"14";"ADN0036-A";2;61,308;"accessories";5;1;5
"15";"ADN0037";0,3;73,6858;"accessories";50;1,06;53
"16";"ADN0038";1;46,9136842105263;"accessories";38;1,28947368421053;49
"17";"ADN0039";0,285714285714286;46,615;"accessories";40;1;40
"18";"ADN0040";0,363636363636364;32,6174193548387;"accessories";62;1,11290322580645;69
"19";"ADN0042";0,25;32,2808333333333;"accessories";36;1,02777777777778;37
"20";"ADN0043";1,2;19,4566666666667;"accessories";30;1,03333333333333;31
"21";"ADN0044";2;18,99;"accessories";14;1;14
"22";"ADN0046";1;19,3536363636364;"accessories";11;1,18181818181818;13
"23";"ADN0047";4;45,48;"accessories";10;1;10
"24";"ADN0048";0,8;47,0268421052632;"accessories";19;1;19
"25";"ADN0050";3;28,99;"accessories";9;1;9
"26";"ADN0053";2;21,18;"accessories";8;1;8
"27";"AKI0007";1,25;61,0611111111111;"accessories";18;1;18
"28";"AKI0008";1;226,84;"accessories";10;1,1;11
"29";"AKI0009";2,5;108,068947368421;"accessories";19;1;19
"30";"AKI0012";3,5;413,848148148148;"accessories";27;1;27
"31";"AKI0015";1,66666666666667;370,987872340426;"accessories";47;1;47
"32";"AKI0015-A";2;322,24;"accessories";7;1;7
"33";"AKI0019";1,76923076923077;37,0366176470588;"accessories";68;1,02941176470588;70
"34";"ALL0001";7,66666666666667;10,9910989010989;"accessories";91;1,30769230769231;119
"35";"ALL0002";4,28571428571429;9,80798165137615;"accessories";109;1,25688073394495;137
"36";"ALL0003";5;15,50875;"accessories";80;1,175;94
"37";"ALL0004";1,66666666666667;14,833488372093;"accessories";215;1,28837209302326;277
"38";"ALL0007";1,5;18,8977419354839;"accessories";62;1,2258064516129;76
"39";"ALL0008";4,33333333333333;18,559;"accessories";40;1,15;46
"40";"ALL0009";9,5;26,3005882352941;"accessories";51;1,2156862745098;62
"41";"ALL0011";12;11,0393939393939;"accessories";33;1,18181818181818;39
"42";"ALL0012";9,5;14,0003448275862;"accessories";58;1,24137931034483;72
"43";"ALL0013";1,11111111111111;15,8036363636364;"accessories";44;1,25;55
"44";"ALL0015";5;11,9504761904762;"accessories";21;1,57142857142857;33
"45";"ALL0016";4,5;18,9737037037037;"accessories";27;1;27
"46";"ALL0017";2,66666666666667;18,9178947368421;"accessories";19;1,21052631578947;23
"47";"ALL0019";1,83333333333333;10,2409523809524;"accessories";63;1,23809523809524;78
"48";"AP20022";0,75;963,932463768116;"pc";69;1,10144927536232;76
"49";"AP20024";1;908,318;"pc";5;1;5
"50";"AP20049";0,5;196,157142857143;"smartphone";7;1;7
"51";"AP20051";0,5;195,286;"smartphone";10;1;10
"52";"AP20073";0,105263157894737;1119,85375;"laptop";72;1,05555555555556;76
"53";"AP20075";0,25;1797,285;"laptop";26;1;26
"54";"AP20078";0,230769230769231;852,894507042254;"laptop";71;1,01408450704225;72
"55";"AP20079";0,5;1024,12363636364;"laptop";11;1;11
"56";"AP20082";1;240,369090909091;"tablet";11;1;11
"57";"AP20091";1;753,370714285714;"tablet";28;1;28
"58";"AP20097";0,5;372,872916666667;"smartphone";24;1,08333333333333;26
"59";"AP20100";0,25;32,99;"accessories";12;1;12
"60";"AP20102";1;31,34;"accessories";4;1;4
"61";"AP20107";1,4;79,6566666666667;"accessories";36;1;36
"62";"AP20108";0,8;107,879642857143;"accessories";28;1;28
"63";"AP20109";0,307692307692308;104,054444444444;"accessories";27;1;27
"64";"AP20110";2;26,2;"accessories";19;1;19
"65";"AP20114";0,25;32,1092857142857;"accessories";14;1;14
"66";"AP20118";0,833333333333333;4,96;"accessories";25;1,08;27
"67";"AP20120";0,833333333333333;24,5515384615385;"accessories";26;1;26
"68";"AP20124";6;19,942380952381;"accessories";21;1,0952380952381;23
"69";"AP20125";1;22,1111111111111;"accessories";18;1,22222222222222;22
"70";"AP20127";0,333333333333333;24,8511111111111;"accessories";9;1;9
"71";"AP20129";0,5;54,99;"accessories";8;1;8
"72";"AP20131";2;24,365;"accessories";12;1,08333333333333;13
"73";"AP20133";2;14,615;"accessories";6;1;6
"74";"AP20134";3;34,5525;"accessories";8;1;8
"75";"AP20138";0,2;200,155135135135;"accessories";37;1;37
"76";"AP20139";1,33333333333333;270,416428571429;"accessories";28;1;28
"77";"AP20140";0,4;163,590322580645;"other";31;1;31
"78";"AP20141";0,1;135,499090909091;"other";44;1,15909090909091;51
"79";"AP20142";0,285714285714286;57,4774193548387;"other";31;1,19354838709677;37
"80";"AP20143";0,636363636363636;72,6098148148148;"accessories";54;1,09259259259259;59
"81";"AP20144";0,176470588235294;138,265;"accessories";40;1,05;42
"82";"AP20150";0,333333333333333;1214,39882352941;"pc";17;1,76470588235294;30
"83";"AP20152";0,5;1990,85;"pc";7;1;7
"84";"AP20153";0,142857142857143;446,430909090909;"pc";33;1;33
"85";"AP20164";0,333333333333333;784,331904761905;"smartphone";21;1,04761904761905;22
"86";"AP20168";0,727272727272727;584,524520547945;"smartphone";73;1,01369863013699;74
"87";"AP20169";1;766,544615384615;"smartphone";13;1;13
"88";"AP20172";0,5;696,210526315789;"smartphone";57;1;57
"89";"AP20174";0,2;689,699285714286;"smartphone";42;1,04761904761905;44
"90";"AP20178";0,5;477,578461538462;"smartphone";13;1;13
